Date,Intl_sales,Intl_refund,Intl_total,Dom_sales,Dom_refund,Dom_total,G_total
2020-09-01,75533721,-30208891,45324830,557545249,-481423518,76121731,121446561
2020-09-02,54356610,-32988745,21367865,527702825,-459201407,68501418,89869283
2020-09-03,67225352,-53433720,13791632,582583360,-462299352,120284008,134075640
2020-09-04,44564800,-33754034,10810766,604182529,-428216607,175965922,186776688
2020-09-05,30918500,-18863869,12054631,460125939,-202591789,257534150,269588781
2020-09-06,30923908,-6677942,24245966,541284965,-224820195,316464770,340710736
2020-09-07,59435870,-46454247,12981623,699256953,-466940972,232315981,245297604
2020-09-08,53015455,-31157678,21857777,826516093,-429502572,397013521,418871298
2020-09-09,41584791,-67261723,-25676932,789269478,-386523543,402745935,377069003
2020-09-10,31904107,-31589764,314343,761535176,-323824809,437710367,438024710
2020-09-11,22011192,-17664634,4346558,770872789,-447677961,323194828,327541386
2020-09-12,6954769,-8839856,-1885087,486335941,-185031968,301303973,299418886
2020-09-13,20790763,-14237116,6553647,590052299,-196555169,393497130,400050777
Total,539219838,-393132219,146087619,8197263596,-4694609862,3502653734,3648741353
